id	referencia	descripcion	descripcion_larga	FAMILIA	SUBFAMILIA	COLECCION	CATEGORIA	nombre_talla	nombre_Color	codigobarras	stock	stockminimo	tarifa_pvp	tarifa_coste	tarifa_multimarca	tarifa_pmp_grupo	tarifa_retail	tarifa_pmp_empresa
0160100748	01601007 	AMERICANA SARGA PIEDRA 48	AMERICANA SARGA COLOR: PIEDRA TALLA: 48	AMERICANA	SARGA	PV 2016	AMERICANA	48	PIEDRA	8435408455299	1	0	164,90 €	46,10 €	68,75 €	46,10 €	55,00 €	46,10 €
0160100750	01601007 	AMERICANA SARGA PIEDRA 50	AMERICANA SARGA COLOR: PIEDRA TALLA: 50	AMERICANA	SARGA	PV 2016	AMERICANA	50	PIEDRA	8435408455305	7	0	164,90 €	46,10 €	68,75 €	50,55 €	55,00 €	50,55 €
0160100752	01601007 	AMERICANA SARGA PIEDRA 52	AMERICANA SARGA COLOR: PIEDRA TALLA: 52	AMERICANA	SARGA	PV 2016	AMERICANA	52	PIEDRA	8435408455312	8	0	164,90 €	46,10 €	68,75 €	55,00 €	55,00 €	55,00 €
0160100754	01601007 	AMERICANA SARGA PIEDRA 54	AMERICANA SARGA COLOR: PIEDRA TALLA: 54	AMERICANA	SARGA	PV 2016	AMERICANA	54	PIEDRA	8435408455329	3	0	164,90 €	46,10 €	68,75 €	55,00 €	55,00 €	55,00 €
0160100756	01601007 	AMERICANA SARGA PIEDRA 56	AMERICANA SARGA COLOR: PIEDRA TALLA: 56	AMERICANA	SARGA	PV 2016	AMERICANA	56	PIEDRA	8435408455336	4	0	164,90 €	46,10 €	68,75 €	50,55 €	55,00 €	50,55 €
0160100758	01601007 	AMERICANA SARGA PIEDRA 58	AMERICANA SARGA COLOR: PIEDRA TALLA: 58	AMERICANA	SARGA	PV 2016	AMERICANA	58	PIEDRA	8435408455343	5	0	164,90 €	46,10 €	68,75 €	50,55 €	55,00 €	50,55 €
01601241L	02601241	CAMISA ML CUADROS TRICOLOR GRANATE L	CAMISA ML CUADROS TRICOLOR GRANATE L	CAMISA	TRICOLOR	OI 2015	CAMISA	L	GRANATE	8435408454230	1	0	59,90 €	16,45 €	24,96 €	19,96 €	19,96 €	19,96 €
01601241M	02601241	CAMISA ML CUADROS TRICOLOR GRANATE M	CAMISA ML CUADROS TRICOLOR GRANATE M	CAMISA	TRICOLOR	OI 2015	CAMISA	M	GRANATE	8435408454223	5	0	59,90 €	16,45 €	24,96 €	19,15 €	19,96 €	19,15 €
01601241S	02601241	CAMISA ML CUADROS TRICOLOR GRANATE S	CAMISA ML CUADROS TRICOLOR GRANATE S	CAMISA	TRICOLOR	OI 2015	CAMISA	S	GRANATE	8435408454216	6	0	59,90 €	16,45 €	24,96 €	19,19 €	19,96 €	19,19 €
01601241XL	02601241	CAMISA ML CUADROS TRICOLOR GRANATE XL	CAMISA ML CUADROS TRICOLOR GRANATE XL	CAMISA	TRICOLOR	OI 2015	CAMISA	XL	GRANATE	8435408454247	11	0	59,90 €	16,45 €	24,96 €	19,07 €	19,96 €	19,07 €
01601241XXL	02601241	CAMISA ML CUADROS TRICOLOR GRANATE XXL	CAMISA ML CUADROS TRICOLOR GRANATE XXL	CAMISA	TRICOLOR	OI 2015	CAMISA	XXL	GRANATE	8435408454254	3	0	59,90 €	16,45 €	24,96 €	18,90 €	19,96 €	18,90 €
01601360L	02601360	CAMISA ML CUADROS TRICOLOR AZUL L	CAMISA ML CUADROS TRICOLOR AZUL L	CAMISA	TRICOLOR	OI 2015	CAMISA	L	AZUL	8435408454131	3	0	59,90 €	16,45 €	24,96 €	18,69 €	19,96 €	18,69 €
01601360M	02601360	CAMISA ML CUADROS TRICOLOR AZUL M	CAMISA ML CUADROS TRICOLOR AZUL M	CAMISA	TRICOLOR	OI 2015	CAMISA	M	AZUL	8435408454124	3	0	59,90 €	16,45 €	24,96 €	18,66 €	19,96 €	18,66 €
01601360S	02601360	CAMISA ML CUADROS TRICOLOR AZUL S	CAMISA ML CUADROS TRICOLOR AZUL S	CAMISA	TRICOLOR	OI 2015	CAMISA	S	AZUL	8435408454117	10	0	59,90 €	16,45 €	24,96 €	18,63 €	19,96 €	18,63 €
01601360XL	02601360	CAMISA ML CUADROS TRICOLOR AZUL XL	CAMISA ML CUADROS TRICOLOR AZUL XL	CAMISA	TRICOLOR	OI 2015	CAMISA	XL	AZUL	8435408454148	13	0	59,90 €	16,45 €	24,96 €	18,83 €	19,96 €	18,83 €
01601360XXL	02601360	CAMISA ML CUADROS TRICOLOR AZUL XXL	CAMISA ML CUADROS TRICOLOR AZUL XXL	CAMISA	TRICOLOR	OI 2015	CAMISA	XXL	AZUL	8435408454155	9	0	59,90 €	16,45 €	24,96 €	18,86 €	19,96 €	18,86 €
0160136348	01601363	AMERICANA SARGA MARINO 48	AMERICANA SARGA MARINO 48	AMERICANA	SARGA	PV 2016	AMERICANA	48	MARINO	8435408455176	0	0	164,90 €	46,10 €	68,75 €	52,43 €	55,00 €	52,43 €
0160136350	01601363	AMERICANA SARGA MARINO 50	AMERICANA SARGA MARINO 50	AMERICANA	SARGA	PV 2016	AMERICANA	50	MARINO	8435408455183	33	0	164,90 €	46,10 €	68,75 €	53,44 €	55,00 €	53,44 €
0160136352	01601363	AMERICANA SARGA MARINO 52	AMERICANA SARGA MARINO 52	AMERICANA	SARGA	PV 2016	AMERICANA	52	MARINO	8435408455190	54	0	164,90 €	46,10 €	68,75 €	53,91 €	55,00 €	53,91 €
0160136354	01601363	AMERICANA SARGA MARINO 54	AMERICANA SARGA MARINO 54	AMERICANA	SARGA	PV 2016	AMERICANA	54	MARINO	8435408455206	27	0	164,90 €	46,10 €	68,75 €	53,77 €	55,00 €	53,77 €
0160136356	01601363	AMERICANA SARGA MARINO 56	AMERICANA SARGA MARINO 56	AMERICANA	SARGA	PV 2016	AMERICANA	56	MARINO	8435408455213	14	0	164,90 €	46,10 €	68,75 €	53,73 €	55,00 €	53,73 €
0160136358	01601363	AMERICANA SARGA MARINO 58	AMERICANA SARGA MARINO 58	AMERICANA	SARGA	PV 2016	AMERICANA	58	MARINO	8435408455220	19	0	164,90 €	46,10 €	68,75 €	55,00 €	55,00 €	55,00 €
0160136448	01601364	AMERICANA SARGA ROYAL 48	AMERICANA SARGA ROYAL 48	AMERICANA	SARGA	PV 2016	AMERICANA	48	ROYAL	8435408455237	0	0	164,90 €	46,10 €	68,75 €	52,44 €	55,00 €	52,44 €
0160136450	01601364	AMERICANA SARGA ROYAL 50	AMERICANA SARGA ROYAL 50	AMERICANA	SARGA	PV 2016	AMERICANA	50	ROYAL	8435408455244	6	0	164,90 €	46,10 €	68,75 €	52,22 €	55,00 €	52,22 €
0160136452	01601364	AMERICANA SARGA ROYAL 52	AMERICANA SARGA ROYAL 52	AMERICANA	SARGA	PV 2016	AMERICANA	52	ROYAL	8435408455251	7	0	164,90 €	46,10 €	68,75 €	54,56 €	55,00 €	54,56 €
0160136454	01601364	AMERICANA SARGA ROYAL 54	AMERICANA SARGA ROYAL 54	AMERICANA	SARGA	PV 2016	AMERICANA	54	ROYAL	8435408455268	3	0	164,90 €	46,10 €	68,75 €	54,78 €	55,00 €	54,78 €
0160136456	01601364	AMERICANA SARGA ROYAL 56	AMERICANA SARGA ROYAL 56	AMERICANA	SARGA	PV 2016	AMERICANA	56	ROYAL	8435408455275	4	0	164,90 €	46,10 €	68,75 €	55,00 €	55,00 €	55,00 €
0160136458	01601364	AMERICANA SARGA ROYAL 58	AMERICANA SARGA ROYAL 58	AMERICANA	SARGA	PV 2016	AMERICANA	58	ROYAL	8435408455282	5	0	164,90 €	46,10 €	68,75 €	54,78 €	55,00 €	54,78 €
01601420L	02601420	CAMISA ML CUADROS TRICOLOR VERDE L	CAMISA ML CUADROS TRICOLOR VERDE L	CAMISA	TRICOLOR	OI 2015	CAMISA	L	VERDE	8435408454186	2	0	59,90 €	16,45 €	24,96 €	18,64 €	19,96 €	18,64 €
01601420M	02601420	CAMISA ML CUADROS TRICOLOR VERDE M	CAMISA ML CUADROS TRICOLOR VERDE M	CAMISA	TRICOLOR	OI 2015	CAMISA	M	VERDE	8435408454179	10	0	59,90 €	16,45 €	24,96 €	18,87 €	19,96 €	18,87 €
01601420S	02601420	CAMISA ML CUADROS TRICOLOR VERDE S	CAMISA ML CUADROS TRICOLOR VERDE S	CAMISA	TRICOLOR	OI 2015	CAMISA	S	VERDE	8435408454162	22	0	59,90 €	16,45 €	24,96 €	18,76 €	19,96 €	18,76 €
01601420XL	02601420	CAMISA ML CUADROS TRICOLOR VERDE XL	CAMISA ML CUADROS TRICOLOR VERDE XL	CAMISA	TRICOLOR	OI 2015	CAMISA	XL	VERDE	8435408454193	2	0	59,90 €	16,45 €	24,96 €	18,62 €	19,96 €	18,62 €
01601420XXL	02601420	CAMISA ML CUADROS TRICOLOR VERDE XXL	CAMISA ML CUADROS TRICOLOR VERDE XXL	CAMISA	TRICOLOR	OI 2015	CAMISA	XXL	VERDE	8435408454209	4	0	59,90 €	16,45 €	24,96 €	18,83 €	19,96 €	18,83 €
01602241L	02602241	CAMISA ML VILLELA CUADROS SATURADOS GRANATE L	CAMISA ML VILLELA CUADROS SATURADOS GRANATE L	CAMISA	VILLELA	OI 2015	CAMISA	L	GRANATE	8435408453585	1	0	59,90 €	13,95 €	24,96 €	18,22 €	19,96 €	18,22 €
01602241M	02602241	CAMISA ML VILLELA CUADROS SATURADOS GRANATE M	CAMISA ML VILLELA CUADROS SATURADOS GRANATE M	CAMISA	VILLELA	OI 2015	CAMISA	M	GRANATE	8435408453578	20	0	59,90 €	13,95 €	24,96 €	18,33 €	19,96 €	18,33 €
01602241S	02602241	CAMISA ML VILLELA CUADROS SATURADOS GRANATE S	CAMISA ML VILLELA CUADROS SATURADOS GRANATE S	CAMISA	VILLELA	OI 2015	CAMISA	S	GRANATE	8435408453561	22	0	59,90 €	13,95 €	24,96 €	19,01 €	19,96 €	19,01 €
01602241XL	02602241	CAMISA ML VILLELA CUADROS SATURADOS GRANATE XL	CAMISA ML VILLELA CUADROS SATURADOS GRANATE XL	CAMISA	VILLELA	OI 2015	CAMISA	XL	GRANATE	8435408453592	3	0	59,90 €	13,95 €	24,96 €	18,63 €	19,96 €	18,63 €
01602241XXL	02602241	CAMISA ML VILLELA CUADROS SATURADOS GRANATE XXL	CAMISA ML VILLELA CUADROS SATURADOS GRANATE XXL	CAMISA	VILLELA	OI 2015	CAMISA	XXL	GRANATE	8435408453608	12	0	59,90 €	13,95 €	24,96 €	17,78 €	19,96 €	17,78 €
01603061L	02603061	CAMISA ML CUADROS PESPUNTE AMARILLO L	CAMISA ML CUADROS PESPUNTE AMARILLO L	CAMISA	PESPUNTE	OI 2015	CAMISA	L	AMARILLO	8435408453981	0	0	59,90 €	16,95 €	24,96 €	18,69 €	19,96 €	18,69 €
01603061M	02603061	CAMISA ML CUADROS PESPUNTE AMARILLO M	CAMISA ML CUADROS PESPUNTE AMARILLO M	CAMISA	PESPUNTE	OI 2015	CAMISA	M	AMARILLO	8435408453974	7	0	59,90 €	16,95 €	24,96 €	18,80 €	19,96 €	18,80 €
01603061S	02603061	CAMISA ML CUADROS PESPUNTE AMARILLO S	CAMISA ML CUADROS PESPUNTE AMARILLO S	CAMISA	PESPUNTE	OI 2015	CAMISA	S	AMARILLO	8435408453967	22	0	59,90 €	16,95 €	24,96 €	18,89 €	19,96 €	18,89 €
01603061XL	02603061	CAMISA ML CUADROS PESPUNTE AMARILLO XL	CAMISA ML CUADROS PESPUNTE AMARILLO XL	CAMISA	PESPUNTE	OI 2015	CAMISA	XL	AMARILLO	8435408453998	2	0	59,90 €	16,95 €	24,96 €	18,71 €	19,96 €	18,71 €
01603061XXL	02603061	CAMISA ML CUADROS PESPUNTE AMARILLO XXL	CAMISA ML CUADROS PESPUNTE AMARILLO XXL	CAMISA	PESPUNTE	OI 2015	CAMISA	XXL	AMARILLO	8435408454001	2	0	59,90 €	16,95 €	24,96 €	18,95 €	19,96 €	18,95 €
01603242L	02603242	CAMISA ML CUADROS PESPUNTE ROSA L	CAMISA ML CUADROS PESPUNTE ROSA L	CAMISA	PESPUNTE	OI 2015	CAMISA	L	ROSA	8435408454032	1	0	59,90 €	16,95 €	24,96 €	18,91 €	19,96 €	18,91 €
01603242M	02603242	CAMISA ML CUADROS PESPUNTE ROSA M	CAMISA ML CUADROS PESPUNTE ROSA M	CAMISA	PESPUNTE	OI 2015	CAMISA	M	ROSA	8435408454025	1	0	59,90 €	16,95 €	24,96 €	19,05 €	19,96 €	19,05 €
01603242S	02603242	CAMISA ML CUADROS PESPUNTE ROSA S	CAMISA ML CUADROS PESPUNTE ROSA S	CAMISA	PESPUNTE	OI 2015	CAMISA	S	ROSA	8435408454018	3	0	59,90 €	16,95 €	24,96 €	19,34 €	19,96 €	19,34 €
01603242XL	02603242	CAMISA ML CUADROS PESPUNTE ROSA XL	CAMISA ML CUADROS PESPUNTE ROSA XL	CAMISA	PESPUNTE	OI 2015	CAMISA	XL	ROSA	8435408454049	2	0	59,90 €	16,95 €	24,96 €	18,62 €	19,96 €	18,62 €
01603242XXL	02603242	CAMISA ML CUADROS PESPUNTE ROSA XXL	CAMISA ML CUADROS PESPUNTE ROSA XXL	CAMISA	PESPUNTE	OI 2015	CAMISA	XXL	ROSA	8435408454056	1	0	59,90 €	16,95 €	24,96 €	19,13 €	19,96 €	19,13 €
0160336048	01603363 	AMERICANA ESPIGA MARINO 48	AMERICANA ESPIGA MARINO 48 COLOR: MARINO TALLA: 48	AMERICANA	ESPIGA	OI2016	AMERICANA	48	MARINO	8435408463874	17	0	199,00 €	53,95 €	79,60 €	55,56 €	66,40 €	55,56 €
0160336050	01603363 	AMERICANA ESPIGA MARINO 50	AMERICANA ESPIGA MARINO 48 COLOR: MARINO TALLA: 50	AMERICANA	ESPIGA	OI2016	AMERICANA	50	MARINO	8435408463881	23	0	199,00 €	53,95 €	79,60 €	56,30 €	66,40 €	56,30 €
0160336052	01603363 	AMERICANA ESPIGA MARINO 52	AMERICANA ESPIGA MARINO 48 COLOR: MARINO TALLA: 52	AMERICANA	ESPIGA	OI2016	AMERICANA	52	MARINO	8435408463898	28	0	199,00 €	53,95 €	79,60 €	55,84 €	66,40 €	55,84 €
0160336054	01603363 	AMERICANA ESPIGA MARINO 54	AMERICANA ESPIGA MARINO 48 COLOR: MARINO TALLA: 54	AMERICANA	ESPIGA	OI2016	AMERICANA	54	MARINO	8435408463904	24	0	199,00 €	53,95 €	79,60 €	56,56 €	66,40 €	56,56 €
0160336056	01603363 	AMERICANA ESPIGA MARINO 56	AMERICANA ESPIGA MARINO 48 COLOR: MARINO TALLA: 56	AMERICANA	ESPIGA	OI2016	AMERICANA	56	MARINO	8435408463911	13	0	199,00 €	53,95 €	79,60 €	56,68 €	66,40 €	56,68 €
01603420L	02603420	CAMISA ML CUADROS PESPUNTE VERDE L	CAMISA ML CUADROS PESPUNTE VERDE L	CAMISA	PESPUNTE	OI 2015	CAMISA	L	VERDE	8435408454087	2	0	59,90 €	16,95 €	24,96 €	18,83 €	19,96 €	18,83 €
01603420M	02603420	CAMISA ML CUADROS PESPUNTE VERDE M	CAMISA ML CUADROS PESPUNTE VERDE M	CAMISA	PESPUNTE	OI 2015	CAMISA	M	VERDE	8435408454070	10	0	59,90 €	16,95 €	24,96 €	18,94 €	19,96 €	18,94 €
01603420S	02603420	CAMISA ML CUADROS PESPUNTE VERDE S	CAMISA ML CUADROS PESPUNTE VERDE S	CAMISA	PESPUNTE	OI 2015	CAMISA	S	VERDE	8435408454063	22	0	59,90 €	16,95 €	24,96 €	18,96 €	19,96 €	18,96 €
01603420XL	02603420	CAMISA ML CUADROS PESPUNTE VERDE XL	CAMISA ML CUADROS PESPUNTE VERDE XL	CAMISA	PESPUNTE	OI 2015	CAMISA	XL	VERDE	8435408454094	2	0	59,90 €	16,95 €	24,96 €	18,61 €	19,96 €	18,61 €
01603420XXL	02603420	CAMISA ML CUADROS PESPUNTE VERDE XXL	CAMISA ML CUADROS PESPUNTE VERDE XXL	CAMISA	PESPUNTE	OI 2015	CAMISA	XXL	VERDE	8435408454100	4	0	59,90 €	16,95 €	24,96 €	18,50 €	19,96 €	18,50 €
01604240L	02680240	CAMISA ML CUADROS FONDO BLANCO ROJO L	CAMISA ML CUADROS FONDO BLANCO ROJO L	CAMISA	FONDO BLANCO	OI 2015	CAMISA	L	ROJO	8435408453837	0	0	59,90 €	15,45 €	24,96 €	16,24 €	19,96 €	16,24 €
01604240M	02680240	CAMISA ML CUADROS FONDO BLANCO ROJO M	CAMISA ML CUADROS FONDO BLANCO ROJO M	CAMISA	FONDO BLANCO	OI 2015	CAMISA	M	ROJO	8435408453820	4	0	59,90 €	15,45 €	24,96 €	15,94 €	19,96 €	15,94 €
01604240S	02680240	CAMISA ML CUADROS FONDO BLANCO ROJO S	CAMISA ML CUADROS FONDO BLANCO ROJO S	CAMISA	FONDO BLANCO	OI 2015	CAMISA	S	ROJO	8435408453813	18	0	59,90 €	15,45 €	24,96 €	15,89 €	19,96 €	15,89 €
01604240XL	02680240	CAMISA ML CUADROS FONDO BLANCO ROJO XL	CAMISA ML CUADROS FONDO BLANCO ROJO XL	CAMISA	FONDO BLANCO	OI 2015	CAMISA	XL	ROJO	8435408453844	0	0	59,90 €	15,45 €	24,96 €	16,43 €	19,96 €	16,43 €
01604240XXL	02680240	CAMISA ML CUADROS FONDO BLANCO ROJO XXL	CAMISA ML CUADROS FONDO BLANCO ROJO XXL	CAMISA	FONDO BLANCO	OI 2015	CAMISA	XXL	ROJO	8435408453851	8	0	59,90 €	15,45 €	24,96 €	16,09 €	19,96 €	16,09 €
01604360L	02680360	CAMISA ML CUADROS FONDO BLANCO AZUL L	CAMISA ML CUADROS FONDO BLANCO AZUL L	CAMISA	FONDO BLANCO	OI 2015	CAMISA	L	AZUL	8435408453936	3	0	59,90 €	15,45 €	24,96 €	15,94 €	19,96 €	15,94 €
01604360M	02680360	CAMISA ML CUADROS FONDO BLANCO AZUL M	CAMISA ML CUADROS FONDO BLANCO AZUL M	CAMISA	FONDO BLANCO	OI 2015	CAMISA	M	AZUL	8435408453929	4	0	59,90 €	15,45 €	24,96 €	16,02 €	19,96 €	16,02 €
01604360S	02680360	CAMISA ML CUADROS FONDO BLANCO AZUL S	CAMISA ML CUADROS FONDO BLANCO AZUL S	CAMISA	FONDO BLANCO	OI 2015	CAMISA	S	AZUL	8435408453912	34	0	59,90 €	15,45 €	24,96 €	15,93 €	19,96 €	15,93 €
01604360XL	02680360	CAMISA ML CUADROS FONDO BLANCO AZUL XL	CAMISA ML CUADROS FONDO BLANCO AZUL XL	CAMISA	FONDO BLANCO	OI 2015	CAMISA	XL	AZUL	8435408453943	9	0	59,90 €	15,45 €	24,96 €	15,98 €	19,96 €	15,98 €
01604360XXL	02680360	CAMISA ML CUADROS FONDO BLANCO AZUL XXL	CAMISA ML CUADROS FONDO BLANCO AZUL XXL	CAMISA	FONDO BLANCO	OI 2015	CAMISA	XXL	AZUL	8435408453950	9	0	59,90 €	15,45 €	24,96 €	16,25 €	19,96 €	16,25 €
0160536046	01605363 	AMERICANA PIQUE CODERAS MARINO 46	AMERICANA PIQUE CODERAS 48 COLOR: MARINO TALLA: 46	AMERICANA	PIQUE	PV2017	AMERICANA	46	AZUL	8435408462754	1	0	175,90 €	34,95 €	55,95 €	45,95 €	45,95 €	45,95 €
01607363L	02607363	CAMISA ML CHAMBRAY MARINO L	CAMISA ML CHAMBRAY MARINO L	CAMISA	CHAMBRAY	OI 2015	CAMISA	L	MARINO	8435408454483	4	0	59,90 €	16,95 €	24,96 €	18,89 €	19,96 €	18,89 €
01607363M	02607363	CAMISA ML CHAMBRAY MARINO M	CAMISA ML CHAMBRAY MARINO M	CAMISA	CHAMBRAY	OI 2015	CAMISA	M	MARINO	8435408454476	11	0	59,90 €	16,95 €	24,96 €	17,82 €	19,96 €	17,82 €
01607363S	02607363	CAMISA ML CHAMBRAY MARINO S	CAMISA ML CHAMBRAY MARINO S	CAMISA	CHAMBRAY	OI 2015	CAMISA	S	MARINO	8435408454469	5	0	59,90 €	16,95 €	24,96 €	17,70 €	19,96 €	17,70 €
01607363XL	02607363	CAMISA ML CHAMBRAY MARINO XL	CAMISA ML CHAMBRAY MARINO XL	CAMISA	CHAMBRAY	OI 2015	CAMISA	XL	MARINO	8435408454490	6	0	59,90 €	16,95 €	24,96 €	18,15 €	19,96 €	18,15 €
01607363XXL	02607363	CAMISA ML CHAMBRAY MARINO XXL	CAMISA ML CHAMBRAY MARINO XXL	CAMISA	CHAMBRAY	OI 2015	CAMISA	XXL	MARINO	8435408454506	4	0	59,90 €	16,95 €	24,96 €	18,22 €	19,96 €	18,22 €
01608010XXL	02608010	CAMISA ML OXFORD BLANCO XXL	CAMISA ML OXFORD BLANCO XXL	CAMISA	OXFORD	OI 2015	CAMISA	XXL	BLANCO	8435408454308	5	0	59,90 €	15,95 €	24,96 €	19,96 €	19,96 €	19,96 €
01608240L	02608240	CAMISA ML OXFORD ROJO L	CAMISA ML OXFORD ROJO L	CAMISA	OXFORD	OI 2015	CAMISA	L	ROJO	8435408454438	14	0	59,90 €	15,95 €	24,96 €	19,79 €	19,96 €	19,79 €
01608240M	02608240	CAMISA ML OXFORD ROJO M	CAMISA ML OXFORD ROJO M	CAMISA	OXFORD	OI 2015	CAMISA	M	ROJO	8435408454421	27	0	59,90 €	15,95 €	24,96 €	19,80 €	19,96 €	19,80 €
01608240S	02608240	CAMISA ML OXFORD ROJO S	CAMISA ML OXFORD ROJO S	CAMISA	OXFORD	OI 2015	CAMISA	S	ROJO	8435408454414	26	0	59,90 €	15,95 €	24,96 €	19,80 €	19,96 €	19,80 €
01608240XL	02608240	CAMISA ML OXFORD ROJO XL	CAMISA ML OXFORD ROJO XL	CAMISA	OXFORD	OI 2015	CAMISA	XL	ROJO	8435408454445	21	0	59,90 €	15,95 €	24,96 €	19,77 €	19,96 €	19,77 €
01608240XXL	02608240	CAMISA ML OXFORD ROJO XXL	CAMISA ML OXFORD ROJO XXL	CAMISA	OXFORD	OI 2015	CAMISA	XXL	ROJO	8435408454452	12	0	59,90 €	15,95 €	24,96 €	19,51 €	19,96 €	19,51 €
01608363M	02608360	CAMISA ML OXFORD MARINO M	CAMISA ML OXFORD MARINO M	CAMISA	OXFORD	OI 2015	CAMISA	M	MARINO	8435408454377	0	0	59,90 €	15,95 €	24,96 €	19,96 €	19,96 €	19,96 €
01609010L	02609010	CAMISA M/L VESTIR LOGO PECHO  BLANCO L	CAMISA ML VESTIR LOGO PECHO BLANCO S COLOR: BLANCO TALLA: L	CAMISA	CAMISA	OI 2015	LOGO TRIANGULOS	L	BLANCO	8435408454537	0	0	59,90 €	15,45 €	24,96 €	18,07 €	19,96 €	18,07 €
01609010M	02609010 	CAMISA M/L VESTIR LOGO PECHO  BLANCO M	CAMISA ML VESTIR LOGO PECHO BLANCO S COLOR: BLANCO TALLA: M	CAMISA	CAMISA	OI 2015	LOGO TRIANGULOS	M	BLANCO	8435408454520	0	0	59,90 €	15,45 €	24,96 €	16,77 €	19,96 €	16,77 €
01609010S	02609010 	CAMISA ML VESTIR LOGO PECHO BLANCO S	CAMISA ML VESTIR LOGO PECHO BLANCO S	CAMISA	CAMISA	OI 2015	LOGO TRIANGULOS	S	BLANCO	8435408454513	0	0	59,90 €	15,45 €	24,96 €	18,46 €	19,96 €	18,46 €
01609010XL	02609010 	CAMISA M/L VESTIR LOGO PECHO  BLANCO XL	CAMISA ML VESTIR LOGO PECHO BLANCO S COLOR: BLANCO TALLA: XL	CAMISA	CAMISA	OI 2015	LOGO TRIANGULOS	XL	BLANCO	8435408454544	0	0	59,90 €	15,45 €	24,96 €	18,27 €	19,96 €	18,27 €
01609010XXL	02609010 	CAMISA M/L VESTIR LOGO PECHO  BLANCO XXL	CAMISA ML VESTIR LOGO PECHO BLANCO S COLOR: BLANCO TALLA: XXL	CAMISA	CAMISA	OI 2015	LOGO TRIANGULOS	XXL	BLANCO	8435408454551	0	0	59,90 €	15,45 €	24,96 €	18,68 €	19,96 €	18,68 €
01609361L	02609361	CAMISA ML VESTIR LOGO PECHO CELESTE L	CAMISA ML VESTIR LOGO PECHO COLOR: CELESTE TALLA: L	CAMISA	CAMISA	OI 2015	LISA LOGO	L	CELESTE	8435408454582	0	0	59,90 €	15,45 €	24,96 €	19,06 €	19,96 €	19,06 €
01609361M	02609361	CAMISA ML VESTIR LOGO PECHO CELESTE M	CAMISA ML VESTIR LOGO PECHO COLOR: CELESTE TALLA: M	CAMISA	CAMISA	OI 2015	LISA LOGO	M	CELESTE	8435408454575	0	0	59,90 €	15,45 €	24,96 €	19,71 €	19,96 €	19,71 €
01609361S	02609361	CAMISA ML VESTIR LOGO PECHO CELESTE S	CAMISA ML VESTIR LOGO PECHO CELESTE S	CAMISA	CAMISA	OI 2015	LISA LOGO	S	CELESTE	8435408454568	0	0	59,90 €	15,45 €	24,96 €	19,61 €	19,96 €	19,61 €
01609361XL	02609361	CAMISA ML VESTIR LOGO PECHO CELESTE XL	CAMISA ML VESTIR LOGO PECHO COLOR: CELESTE TALLA: XL	CAMISA	CAMISA	OI 2015	LISA LOGO	XL	CELESTE	8435408454599	0	0	59,90 €	15,45 €	24,96 €	19,40 €	19,96 €	19,40 €
01609361XXL	02609361	CAMISA M/L VESTIR LOGO PECHO CELESTE XXL	CAMISA  M/L VESTIR LOGO PECHO COLOR: CELESTE TALLA: XXL	CAMISA	CAMISA	OI 2015	LISA LOGO	XXL	CELESTE	8435408454605	0	0	59,90 €	15,45 €	24,96 €	19,96 €	19,96 €	19,96 €
01610240L	02682240	CAMISA ML VILLELA CUADROS PEQUEÑOS ROJO L	CAMISA ML VILLELA CUADROS PEQUEÑOS ROJO L	CAMISA	VILLELA	OI 2015	CAMISA	L	ROJO	8435408453486	2	0	59,90 €	13,95 €	24,96 €	19,96 €	19,96 €	19,96 €
01610240M	02682240	CAMISA ML VILLELA CUADROS PEQUEÑOS ROJO M	CAMISA ML VILLELA CUADROS PEQUEÑOS ROJO M	CAMISA	VILLELA	OI 2015	CAMISA	M	ROJO	8435408453479	3	0	59,90 €	13,95 €	24,96 €	19,96 €	19,96 €	19,96 €
01610240S	02682240	CAMISA ML VILLELA CUADROS PEQUEÑOS ROJO S	CAMISA ML VILLELA CUADROS PEQUEÑOS ROJO S	CAMISA	VILLELA	OI 2015	CAMISA	S	ROJO	8435408453462	10	0	59,90 €	13,95 €	24,96 €	19,96 €	19,96 €	19,96 €
01610240XL	02682240	CAMISA ML VILLELA CUADROS PEQUEÑOS ROJO XL	CAMISA ML VILLELA CUADROS PEQUEÑOS ROJO XL	CAMISA	VILLELA	OI 2015	CAMISA	XL	ROJO	8435408453493	4	0	59,90 €	13,95 €	24,96 €	19,96 €	19,96 €	19,96 €
01610240XXL	02682240	CAMISA ML VILLELA CUADROS PEQUEÑOS ROJO XXL	CAMISA ML VILLELA CUADROS PEQUEÑOS ROJO XXL	CAMISA	VILLELA	OI 2015	CAMISA	XXL	ROJO	8435408453509	5	0	59,90 €	13,95 €	24,96 €	19,96 €	19,96 €	19,96 €
01611061L	02602061	CAMISA ML VILLELA MULTICOLOR AMARILLO L	CAMISA ML VILLELA MULTICOLOR AMARILLO L	CAMISA	VILLELA	OI 2015	CAMISA	L	AMARILLO	8435408453684	2	0	59,90 €	13,95 €	24,96 €	17,57 €	19,96 €	17,57 €
01611061M	02611061	CAMISA ML VILLELA MULTICOLOR AMARILLO M	CAMISA ML VILLELA MULTICOLOR AMARILLO M	CAMISA	VILLELA	OI 2015	CAMISA	M	AMARILLO	8435408453677	11	0	59,90 €	13,95 €	24,96 €	14,75 €	19,96 €	14,75 €
